,original,normalized
47,Киновод 8 серий уже посмотрел,Киновод 8 серий уже посмотрел
48,Вымираты все ближе к деменции,Вымираты всё ближе к деменции
49,Покупал на год,Покупал на год
50,ноно там ещё пиксель бадс должены выйти сначала,Но там ещё пиксель бадс должны выйти сначала
51,Миник покупает там есть тайп си,Миник покупает там есть тайп си
52,Что за спеки,Что за спеки
53,В РФ да Украина хз,В РФ да Украина хрен|знает
54,Я рисовать не умею,Я рисовать не умею
55,Просто выбери что нравица и импровизируй,Просто выбери что нравится и импровизируй
56,Это обработка в пиксарте,Это обработка в пиксарте
57,за 15 тысяч,За 15 тысяч
58,Все чаты есть в закрепе,Все чаты есть в закрепе
59,Бесплатные сервисы каждому,Бесплатные сервисы каждому
60,Наверное единичные случаи,Наверное единичные случаи
61,Вот и закрыли ютюб,Вот и закрыли ютюб
62,Совсем плохо видить стал не подскажите,Совсем плохо видеть стал не подскажите
63,Если всё равно то берите,Если всё равно то берите
64,все равно достоинств у него больше чем недостатков,Всё равно достоинств у него больше чем недостатков
65,Ботов баним сразу как видим заранее не получается,Ботов баним сразу как видим заранее не получается
66,Говорю анатомтческие термины это задница,Говорю анатомические термины это задница
67,И есть ли вариант накатить на него кастом а то оболочка не нравится,И есть ли вариант накатить на него кастом а то оболочка не нравится
68,Когда пойдут нормальные компактные смарты по норм цене а не 30к за хз чо,Когда пойдут нормальные компактные смарты по норм цене а не 30|тысяч за хрен|знает что
69,Хто так обзивается тот так и называется,Кто так обзывается тот так и называется
70,Что делать,Что делать
71,Не знаю что такое warp,Не знаю что такое <foreign>
72,И главное это нахуй не нужно опять таки когда в процессе ты субъект,И главное это нахуй не нужно опять-таки <hyphen> когда в процессе ты субъект
73,Ок заработало и хорошо,Ок заработало и хорошо
74,С творческой стороны,С творческой стороны
75,Моему заказчику панравилась,Моему заказчику понравилась
76,Не пробовали но проверить 5 минут настройки,Не пробовали но проверить 5 минут настройки
77,Камрады привет,Камрады привет
78,Может сегодня в коем то веке заебеню традишку,Может сегодня в кои-то <hyphen> веке заебеню традишку
79,Мне из инадзумы нравиться Кокоми и Яэ мико А ещё особенно Итто Всё Ли Юэ Син Цю Шэнь Хэ Сян Лин Ху Тао Тарталья Чжун Ли Чунь Юнь Монштад Венти Кейя Диона всё,Мне из Инадзумы нравится Кокоми и Яэ Мико а ещё особенно Итто всё Ли Юэ Син Цю Шэнь Хэ Сян Лин Ху Тао Тарталья Чжун Ли Чунь Юнь Мондштадт Венти Кейя Диона всё
80,А так вроде 3 как у других не знаю,А так вроде 3 как у других не знаю
81,Швидкість обертання Місяця навколо Землі абсолютно ідентична швидкості з якою він робить оборот навколо своєї осі тобто обертання Місяця навколо Землі і навколо власної осі синхронізовано,<foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign>
82,Так реально час сидит и поет в 4 утра,Так реально час сидит и поёт в 4 утра
83,Мои любимые чипсы сырные,Мои любимые чипсы сырные
84,на эту тысячу я могу несколько других взять,На эту тысячу я могу несколько других взять
85,Кстати у меня интересные мысли на счёт Nothing,Кстати у меня интересные мысли на счёт <foreign>
86,Вк дерьмо ебанное,Вк дерьмо ебанное
87,У Логи вроде относительно безобидный в этом плане,У Логи вроде относительно безобидный в этом плане
88,А на другой думаю,А на другой думаю
89,По факту как я поняла просят по настроению врача,По факту как я поняла просят по настроению врача
90,Иа68 есть,Иа68 есть
91,привет всем оцените аву новую,Привет всем оцените аватарку новую
92,Telegram исполняется 7 лет,<foreign> исполняется 7 лет
93,Не стоит так явно демонстрировать это в инете,Не стоит так явно демонстрировать это в интернете
94,А флагаманы,А флагманы
95,С бубном и танцами,С бубном и танцами
96,И ещё,И ещё
97,ниправда мой жетстрим топ,Не|правда мой жетстрим топ
98,Причина пид ор гейский гейские,Причина пидорас <conjoint> гейский гейские
99,Третьих пугает нестабильность системы,Третьих пугает нестабильность системы
100,Но блокировка не действовала,Но блокировка не действовала
101,хорош шутейка,Хорошая шутейка
102,Ядро прошить,Ядро прошить
103,Квадратные такие штуки,Квадратные такие штуки
104,Их очень мало,Их очень мало
105,Если тебе так говорят из за того что не даёшь списать сходи к деректору назови ФИО человека и скажи ему всё,Если тебе так говорят из-за <hyphen> того что не даёшь списать сходи к директору назови ФИО человека и скажи ему всё
106,Я сравнил что можно купить за 500 баксов,Я сравнил что можно купить за 500 баксов
107,Не готовят,Не готовят
108,Не ну прошки ещё ничего хотя я ненавижу айфоны но есть одно но почему бы я не купил не при каких обстоятельствах тупо невозможно пользоваться из за санкций,Не ну про-версии ещё ничего хотя я ненавижу айфоны но есть одно но почему бы я не купил не при каких обстоятельствах тупо невозможно пользоваться из-за <hyphen> санкций
109,вау,<interjection>
110,Вкладки мои плейлисты и помощь,Вкладки мои плейлисты и помощь
111,Ням ням ням,<interjection> <interjection> <interjection>
112,все силы ушли на губы понимаю,Все силы ушли на губы понимаю
113,Жопошники,Жопошники
114,Mожет быть Air,Может быть <foreign>
115,не знаю что они там выпускают,Не знаю что они там выпускают
116,Это же тоже своего рода спойлер,Это же тоже своего рода спойлер
117,Или вообще с9,Или вообще с9
118,я с томска летел просто почти тоже самое,Я с Томска летел просто почти то|же самое
119,а я не был никогда я только в питере был,А я не был никогда я только в Питере был
120,Ты не только так агрессировал,Ты не только так агрессировал
121,Опубликованы первые кадры нового фильма Гая Ричи Операция Фортуна,Опубликованы первые кадры нового фильма Гая Ричи Операция Фортуна
122,они недавно норм начали делать,Они недавно нормально начали делать
123,Я специально мучился с тем чтобы мне завезли S20 FE с Британии не дай бог ч этим эксинусром буду пользоваться,Я специально мучился с тем чтобы мне завезли <foreign> <foreign> с Британии не дай бог я этим эксинусом буду пользоваться
124,в пабг играйте,В пабг играйте
125,Чтобы что,Чтобы что
126,Эх,<interjection>
127,Ну я хз мне не с кем говорить,Ну я хрен|знает мне не с кем говорить
128,не слишком рано не слишком поздно чтобы учпеть к урокам,Не слишком рано не слишком поздно чтобы успеть к урокам
129,В этом плане дроид молодец,В этом плане дроид молодец
130,Смартс Днепр Новомосковск Павлоград Никополь Северодонецк Энергодар Каменское,Смартс Днепр Новомосковск Павлоград Никополь Северодонецк Энергодар Каменское
131,А мне рил интересно было,А мне реально интересно было
132,Вводить нового персонажа в киновселенную непросто но в этот раз студия пошла по пути камэо,Вводить нового персонажа в киновселенную непросто но в этот раз студия пошла по пути камео
133,Как и думал 5и классник,Как и думал 5-ти классник
134,Много думал на счёт этого и пришёл к тому что история с единым создателем бред,Много думал насчёт <conjoint> этого и пришёл к тому что история с единым создателем бред
135,Если честно я ничего там не вижу,Если честно я ничего там не вижу
136,Опыт конечно всегда круто но сейчас благотворительностью не очень хочется заниматься,Опыт конечно всегда круто но сейчас благотворительностью не очень хочется заниматься
137,даже в ufs 2 1 еле верится в rn9s учитывая что это сяоми которая экономит на всем,Даже в <foreign> 2 1 еле верится в <foreign> учитывая что это сяоми которая экономит на всём
138,а вообще что посоветуете для музыки мейзу 16тый знаю интересный вариант но больше и не видел,А вообще что посоветуете для музыки мейзу 16-й знаю интересный вариант но больше и не видел
139,нативок не было а миуи гаумно лагучее на нем,Нативок не было а миуи говно лагучее на нём
140,Sony огласила официальную дату релиза картины о супергерое,Sony огласила официальную дату релиза картины о супергерое
141,Яндекс в основном из за станции дома,Яндекс в основном из-за <hyphen> станции дома
142,Нет,Нет
143,потерял голос на 30 минут,Потерял голос на 30 минут
144,А без нифига,А без нифига
145,утрлм я не помнб чтобы захадил,Утром я не помню чтобы заходил
146,Тоже хз ибо рисованием не увлекаюсь,Тоже хрен|знает ибо рисованием не увлекаюсь
147,Материнская компания у жоппо и одинплюса одна и та же BBK,Материнская компания у жоппо и одинплюса одна и та же <foreign>
148,за ссылки же банят,За ссылки же банят
149,И увеличения уровня жизни,И увеличения уровня жизни
150,Обработка паром от клещей вирусов плесени,Обработка паром от клещей вирусов плесени
151,Хуавей вотч рулят автономность 5 дней быстрый проц и хорошие материалы,Хуавей вотч рулят автономность 5 дней быстрый процессор и хорошие материалы
152,У меня 10 с 12 миюай и он сам приложки в темную тему заворачивает иногда криво но шо поделать,У меня 10 с 12 миюай и он сам приложения в тёмную тему заворачивает иногда криво но что поделать
153,Оооо могу тебя понять,<interjection> могу тебя понять
154,ты будешь Авокадо Рантаро Амами и это не обсуждается,Ты будешь Авокадо Рантаро Амами и это не обсуждается
155,нет вот и молчи,Нет вот и молчи
156,Отъезд связан с арестом Хованского,Отъезд связан с арестом Хованского
157,На юпине ещё продается продукция Sony adidas Nike и много другого,На юлине ещё продаётся продукция <foreign> <foreign> <foreign> и много другого
158,Там перетрут всех пока герои не закончатся,Там перетрут всех пока герои не закончатся
159,Но эТа жЕ аППл,Но это же аппл
160,Им не достать ПРИПОЙ РУКАМИ,Им не достать припой руками
161,9 лет,9 лет
162,Когда мне было 4 года я отравился арбузом,Когда мне было 4 года я отравился арбузом
163,я сразу им сказала у меня пудель маленький пудель,Я сразу им сказала у меня пудель маленький пудель
164,И никто его не купит,И никто его не купит
165,Уже перестало цеплять,Уже перестало цеплять
166,привет YOUNG Hollywod не запускаются фильмы только трейлер почему,Привет <foreign> <foreign> не запускаются фильмы только трейлер почему
167,Причем доебы зачастую ни к чему по типу фу ебало страшное наверное наследство от мамаши шлюхи чисто в таком роде,Причём доёбы зачастую ни к чему по типу <interjection> ебало страшное наверное наследство от мамаши шлюхи чисто в таком роде
168,Ну вы же спрашиваете какие приложения есть на Андроиде которых нет на эпл,Ну вы же спрашиваете какие приложения есть на Андроиде которых нет на эпл
169,Ахуеть разница,Ахуеть разница
170,Благодарю полезла изучать правила Израильских авиалиний надеюсь все получится,Благодарю полезла изучать правила Израильских авиалиний надеюсь всё получится
171,в них нема бажання вчитися і їх батьки тільки відкупляються від них не обертай уваги на це будь вище,<foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign>
172,А отличный Shift,А отличный <foreign>
173,Покажи лучшее,Покажи лучшее
174,Ой Сяоми только при слове miui уже плохо,<interjection> Сяоми только при слове <foreign> уже плохо
175,Хз думаю нет,Хрен|знает думаю нет
176,Ненавязчивая напоминалочка,Ненавязчивая напоминалочка
177,Я по обычному,Я по-обычному <hyphen>
178,Буду рад предложениям в личку,Буду рад предложениям в личные|сообщения
179,Срочно надо одеть мужчину для важного мероприятия,Срочно надо одеть мужчину для важного мероприятия
180,Спасибо за разбор,Спасибо за разбор
181,ну так 5 и пользуются маками,Ну так 5 и пользуются маками
182,Я не хочу,Я не хочу
183,Ючи я ж любяя,Ючи я ж любя
184,Я прифигель малеха,Я прифигел малехо
185,Да нормальный заяц чего вы доебались,Да нормальный заяц чего вы доебались
186,самый прекол там,Самый прикол там
187,В закрепе ссылки на все чаты,В закрепе ссылки на все чаты
188,Лимассол,Лимасол
189,Не люблю их,Не люблю их
190,WSJ Video не доступно в,<foreign> <foreign> не доступно в
191,Брендовые магазины или бутики со сильной одеждой,Брендовые магазины или бутики со стильной одеждой
192,Но мне интернет важнее,Но мне интернет важнее
193,Но они под сенсорное управления не оптимизированые,Но они под сенсорные управления не оптимизированные
194,Я мягко говоря ахуел от его логики,Я мягко говоря ахуел от его логики
195,У них есть меньшие объемы по памяти,У них есть меньшие объемы по памяти
196,Больной мозг у тебя и диагноз неутешительный,Больной мозг у тебя и диагноз неутешительный
197,Ну 2560 1400 хотелось бы конечно,Ну 2560 1400 хотелось бы конечно
198,есть и не в офф прошивке разделение,Есть и не в официальной прошивке разделение
199,Прям Аргументный аргумент,Прям Аргументный аргумент
200,Как дела с едой кстати,Как дела с едой кстати
201,Но 5 бачей за лайтрум мне жалко,Но 5 баксов за лайтрум мне жалко
202,Я это понял мне нужен сам ноут,Я это понял мне нужен сам ноутбук
203,Если ты купил планету то ты царь,Если ты купил планету то ты царь
204,Короче если бы Мэйт не косячил с ББ стал бы лучшим,Короче если бы Мэйт не косячил с ББ стал бы лучшим
205,просто смотрел ролики мол у нас ужесточают в этом плане,Просто смотрел ролики мол у нас ужесточают в этом плане
206,да вот сижу качаю вообще мало интересностей завезли,Да вот сижу качаю вообще мало интересностей завезли
207,Собираю команду для получение вайтлистов,Собираю команду для получения вайтлистов
208,Это уплавнялка на телевизоре тогда,Это уплавнялка на телевизоре тогда
209,вообще самсунги меня слабо интересуют из за экранов своих,Вообще самсунги меня слабо интересуют из-за <hyphen> экранов своих
210,Который не кому не нужен,Который никому <conjoint> не нужен
211,Дома только сидеть,Дома только сидеть
212,Ну,Ну
213,почему нельзя людей оскорблять как я буду с сайред сраться,Почему нельзя людей оскорблять как я буду с сайред сраться
214,Куда уж сильнее,Куда уж сильнее
215,Вы за расизм черный расизм,Вы за расизм чёрный расизм
216,Кстати она не только в этом чате суету так навела,Кстати она не только в этом чате суету так навела
217,а че в айфонах нет,А что в айфонах нет
218,До художников аниматоров которые учавствуют в создании аниме мне долеко,До художников аниматоров которые участвуют в создании аниме мне далеко
219,О блин лучков ясненько,<interjection> блин лучков ясненько
220,Хочу знать что за смартфон такой,Хочу знать что за смартфон такой
221,Он требует сил,Он требует сил
222,И при этом на Еду хватило,И при этом на еду хватило
223,Как вернусь домой куплю себе Скетчбук,Как вернусь домой куплю себе скетчбук
224,Хотя если подумать Аська в свое время умела практически все что сейчас умеет телег,Хотя если подумать аська в своё время умела практически всё что сейчас умеет телеграм
225,Потом будет подписка на подписку и можно будет слушать музыку только с вкдилдодроном в заднице,Потом будет подписка на подписку и можно будет слушать музыку только с вкдилдодроном в заднице
226,Смарт на кедах,Смарт на кедах
227,Да я тоже мониторила билеты в итоге взяла на июль только из за цен,Да я тоже мониторила билеты в итоге взяла на июль только из-за <hyphen> цен
228,Ну куда уж нам до тебя отса руссиянского либертарианского чучхеизма,Ну куда уж нам до тебя отца руссиянского либертарианского чучхеизма
229,Покажи где предзаказать можно,Покажи где предзаказать можно
230,да меня лично бесило что девайс за полторы штуки имеет подбородок,Да меня лично бесило что девайс за полторы штуки имеет подбородок
231,Бялт мои закладки это птздец,Блять мои закладки это пиздец
232,А я музыку для этого слушаю,А я музыку для этого слушаю
233,Молодец,Молодец
234,От околопорнушного контента до отровенного треша,От околопорнушного контента до откровенного треша
235,Замена дисплеев аккумуляторов перепайка разъемов профилактическая чистка от грязи и пыли с заменой термопасты переустановка ос модернизация настройка и прочее,Замена дисплеев аккумуляторов перепайка разъемов профилактическая чистка от грязи и пыли с заменой термопасты переустановка ос модернизация настройка и прочее
236,Да и русский там все знают вроде,Да и русский там все знают вроде
237,Как ваше ничего,Как ваше ничего
238,Мы же говорим о съемке,Мы же говорим о съёмке
239,за облачным геймингом будущее,За облачным геймингом будущее
240,Что произошло то,Что произошло-то <hyphen>
241,Блять админы дайте им бан,Блять админы дайте им бан
242,Предлогаю услугу передвижного бара кейтеринг коктейль бар для вашего праздника обращайтесь по телефону,Предлагаю услугу передвижного бара кейтеринг коктейль-бар <hyphen> для вашего праздника обращайтесь по телефону
243,Ну эсли у тебя уже рука привыкла то да,Ну если у тебя уже рука привыкла то да
244,Клёвый,Клёвый
245,Два приложения,Два приложения
246,Виджеты в виде плит,Виджеты в виде плит
247,Я только за,Я только за
248,Дааа мой любимый мульт от СТС наконец то не гавно,Да мой любимый мультфильм от СТС наконец-то <hyphen> не говно
249,Хоть и сам амудешник,Хоть и сам амудешник
250,Мы чизкейк делаем,Мы чизкейк делаем
251,добрый день не выдает код в easy tv чтобы подключить устройство,Добрый день не выдаёт код в <foreign> <foreign> чтобы подключить устройство
252,Зачем эта плашка снизу,Зачем эта плашка снизу
253,Любовь смерть и роботы,Любовь смерть и роботы
254,У меня всегда подключается,У меня всегда подключается
255,Я бота проверяю,Я бота проверяю
256,121 сильно меньше да,121 сильно меньше да
257,Коллцентры не отвечают,Кол-центры не отвечают
258,Если нет то погуглите может есть инструкция в Сети,Если нет то погуглите может есть инструкция в сети
259,А мне кидали список стран откуда не нужны анти тела если не сложно можете продублировать,А мне кидали список стран откуда не нужны антитела <conjoint> если не сложно можете продублировать
260,Ща по скидону на розетке мейзу 16 5к на 710 снапе,Сейчас по скидке на розетке мейзу 16 5|тысяч на 710 снапе
261,Приложение спидтест Россия 50 мбит,Приложение спидтест Россия 50 мегабит
262,Сначало анализ потом прививка,Сначала анализ потом прививка
263,Это вроде норм проц,Это вроде норм процессор
264,В самом низу,В самом низу
265,Можно было объяснить,Можно было объяснить
266,Не корректно,Некорректно <conjoint>
267,ну 7 пользуюсь,Ну 7 пользуюсь
268,Раскладка ужасная,Раскладка ужасная
269,Лучше в гугле,Лучше в гугле
270,Что с этим сделать,Что с этим сделать
271,Кляксику вроде 13,Кляксику вроде 13
272,Всё дожили блин,Всё дожили блин
273,Очень говнистый,Очень говнистый
274,А я пидорасек,А я пидорас
275,Головой думать так и не научились,Головой думать так и не научились
276,Даже полноценный браузер начинает выглядеть проще на фоне этого франкенштейна,Даже полноценный браузер начинает выглядеть проще на фоне этого франкенштейна
277,У нас просто была история когда риэлтор сказал вы мол лэндлорду не говорите про кота я потом с ним сам поговорю,У нас просто была история когда риелтор сказал вы мол лендлорду не говорите про кота я потом с ним сам поговорю
278,Фолды это просто переплата денег за фичу которая задолбет уже на 3 день покупки,Фолды это просто переплата денег за фичу которая задолбает уже на 3-й день покупки
279,Не важно забей,Неважно <conjoint> забей
280,Аа запихнем оперативы 12 гигов и так сойдет,А запихнём оперативной|памяти 12 гигабайт и так сойдёт
281,и тут тоже,И тут тоже
282,Пока есть хлеб нужно покупать а не тратить запасы сразу,Пока есть хлеб нужно покупать а не тратить запасы сразу
283,Вроде это она,Вроде это она
284,И несмотря на грехи этого мира Вместе останемся в нём,И несмотря на грехи этого мира вместе останемся в нём
285,А я отнёс его одному из наших замечательных парней которые занимаются пользовательскими интерфейсами,А я отнёс его одному из наших замечательных парней которые занимаются пользовательскими интерфейсами
286,Дети 3 года,Дети 3 года
287,И качество звука тоже,И качество звука тоже
288,У нас контейнеры Skudo 1 размеры 31 5х31х48 см,У нас контейнеры <foreign> 1 размеры 31 5х31х48 сантиметров
289,Очень порадовало что у них есть возможность и условия в случае чего реанимировать животное и газовый наркоз,Очень порадовало что у них есть возможность и условия в случае чего реанимировать животное и газовый наркоз
290,Так вже трапилося що втратила роботу а жити за щось потрібно,<foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign>
291,Глупо так,Глупо так
292,Еще есть твинк с 5к,Ещё есть твинк с 5|тысячами
293,я умееееер,Я умер
294,о ты крут,<interjection> ты крут
295,аа упс,<interjection> упс
296,Оцените работы пж,Оцените работы пожалуйста
297,Люди что делать если из тг не приходят СМС,Люди что делать если из ТГ не приходят СМС
298,а че вышла,А что вышла
299,А если считать только вышедшие новые то Arcane,А если считать только вышедшие новые то <foreign>
300,Хм ну жить можно,Хм ну жить можно
301,Дашь хоть 50,Дашь хоть 50
302,Котя вместо мышки,Котя вместо мышки
303,Чистый андройд на ми а2 нокиях,Чистый андроид на ми а2 нокиях
304,Выходит не в цыферках счастье,Выходит не в цифрах счастье
305,Лет 15 назад,Лет 15 назад
306,Но лаги жеские бывают ито из за моб,Но лаги жесткие бывают и|то из-за <hyphen> моб
307,swift ojective c,<foreign> <foreign> <foreign>
308,Или людей которые могут посмотреть собаку,Или людей которые могут посмотреть собаку
309,Круто что стикеры в 60 фпс,Круто что стикеры в 60 фпс
310,и у меня,И у меня
311,Возможно ли добавить в приложение Easy TV настройку персонального зеркала,Возможно ли добавить в приложение <foreign> <foreign> настройку персонального зеркала
312,У меня очень хорошо греется но у нас сегодня жарко прост,У меня очень хорошо греется но у нас сегодня жарко просто
313,Дайте пожалуйста на него ссылку,Дайте пожалуйста на него ссылку
314,и на прямых трансляциях,И на прямых трансляциях
315,всем плевать на качество фоток,Всем плевать на качество фотографий
316,Я своїй навіть казати нічого не буду до 18 щоб не було цього ти ще мала потім зрозумієш Хоча вона нормально к усьому цьому відноситься і агресії не має бути,<foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign> <foreign>
317,То ли третий то ли особенный то ли на три буквы,То ли третий то ли особенный то ли на три буквы
